,Country,Rank_b,date_of_info_b,broadband_users,Rank_e,date_of_info_e,percent_education_of_gdp,Rank_g,date_of_info_g,gini_index,Rank_i,date_of_info_i,infant_deaths_per_1K_births,Rank_n,date_of_info_n,internet_users,Rank_m,date_of_info_m,maternal_deaths_per100Kbirths,Rank_u,date_of_info_u,percent_labor_force_unemployed
124,Barbados,125.0,2020.0,128000.0,31.0,2021.0,6.5,,,,139.0,2022.0,9.79,173.0,2019.0,235357.0,115.0,2017.0,27.0,160.0,2021.0,10.41
125,Laos,126.0,2020.0,128000.0,179.0,2020.0,2.3,65.0,2018.0,38.8,37.0,2022.0,36.56,122.0,2020.0,2473689.0,50.0,2017.0,185.0,9.0,2021.0,1.26
126,Somalia,127.0,2020.0,119000.0,197.0,2019.0,0.3,,,,2.0,2022.0,85.06,171.0,2019.0,308858.0,6.0,2017.0,829.0,209.0,2021.0,19.86
127,Guyana,128.0,2020.0,95000.0,99.0,2018.0,4.5,30.0,2007.0,44.6,75.0,2022.0,21.63,172.0,2019.0,289627.0,9.0,2017.0,667.0,200.0,2021.0,16.42
128,Suriname,129.0,2020.0,92270.0,79.0,2020.0,5.0,,,,51.0,2022.0,29.91,164.0,2020.0,410644.0,65.0,2017.0,120.0,159.0,2021.0,10.06
129,"Bahamas, The",130.0,2020.0,83000.0,165.0,2021.0,2.8,,,,111.0,2022.0,12.52,169.0,2020.0,342126.0,83.0,2017.0,70.0,180.0,2021.0,13.24
130,Zambia,131.0,2020.0,82317.0,132.0,2020.0,3.7,3.0,2015.0,57.1,39.0,2022.0,36.33,103.0,2020.0,3676791.0,46.0,2017.0,213.0,178.0,2021.0,13.03
131,Ghana,132.0,2020.0,78371.0,120.0,2018.0,3.9,35.0,2016.0,43.5,46.0,2022.0,31.87,41.0,2020.0,18022308.0,36.0,2017.0,308.0,68.0,2021.0,4.7
132,Kuwait,133.0,2020.0,73948.0,28.0,2020.0,6.6,,,,156.0,2022.0,7.27,98.0,2020.0,4227857.0,140.0,2017.0,12.0,47.0,2021.0,3.71
133,Brunei,134.0,2020.0,71078.0,103.0,2016.0,4.4,,,,134.0,2022.0,10.26,163.0,2020.0,415609.0,109.0,2017.0,31.0,128.0,2021.0,7.65
134,Namibia,135.0,2020.0,71063.0,7.0,2021.0,9.6,2.0,2015.0,59.1,55.0,2022.0,28.49,146.0,2020.0,1041776.0,48.0,2017.0,195.0,212.0,2021.0,21.68
135,Mozambique,136.0,2020.0,70000.0,36.0,2020.0,6.3,7.0,2014.0,54.0,9.0,2022.0,59.77,86.0,2020.0,5313424.0,39.0,2017.0,289.0,53.0,2021.0,3.98
136,Nigeria,137.0,2020.0,65313.0,196.0,2013.0,0.5,101.0,2018.0,35.1,14.0,2022.0,55.17,11.0,2020.0,74210251.0,4.0,2017.0,917.0,155.0,2021.0,9.79
137,French Polynesia,138.0,2020.0,64000.0,,,,,,,183.0,2022.0,4.34,175.0,2019.0,203878.0,,,,189.0,2021.0,14.39
138,Maldives,139.0,2020.0,63685.0,49.0,2020.0,5.8,154.0,2019.0,29.3,64.0,2022.0,25.02,170.0,2020.0,340542.0,92.0,2017.0,53.0,101.0,2021.0,6.08
139,Uganda,140.0,2020.0,58594.0,171.0,2021.0,2.7,38.0,2016.0,42.8,53.0,2022.0,29.44,60.0,2020.0,9148200.0,30.0,2017.0,375.0,33.0,2021.0,2.94
